Interfacial Functional Layer,Original Submitted Term,Verdict (DROP / KEEP / REWRITE),WG3-Rewritten / Accepted Term Label,Why this term matters (simple),RSAM Anchor (Trigger → Performance),Contributor (original),Contributor discipline/sector,Contributor(s) of similar/anchor proposal,Humanities & Social Sciences,Technology & Engineering,Port Management & Economics,Planning & Transportation,Source field,Submitted definition (as provided),Submission date/time
Boundary & Translation (Interpretation),Land,REWRITE,Land (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Hadi El Hage,Architecture and Urban Planning,,HSS,,,,Term 3 and description,"water interface: 
The land–water interface denotes a dynamic and complex transitional zone in which terrestrial and aquatic systems converge and interact through intertwined biophysical, socio-economic, and governance processes. It comprises physical dynamics such as hydrodynamics, sediment transport, and erosion, alongside human activities including urbanisation, maritime infrastructure, and port operations, operating through reciprocal land-to-water and water-to-land interactions. Characterised by intensified flows of matter, energy, goods, people, information, and ecosystem services, the interface produces significant environmental, economic, and societal effects. As a spatial domain subject to competing demands for space and resources, the land–water interface experiences heightened anthropogenic pressures and escalating climate-related risks. At the same time, it is governed through multi-scalar and multi-actor institutional arrangements, positioning it as a critical arena for integrated coastal and waterfront management and spatial planning.",05/02/2026 16.03.17
Boundary & Translation (Interpretation),Port,REWRITE,Port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Hadi El Hage,Architecture and Urban Planning,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 4 and description,"city edge:
The port–city edge refers to the physically and institutionally delineated interface between urban territory and port operations. Rather than constituting a singular or static boundary, it operates as a spatially heterogeneous threshold that both separates and connects urban and maritime domains. As a liminal condition—neither fully urban nor exclusively port-related—this edge delineates the jurisdictional limits of port authority while simultaneously concentrating some of the most intense spatial, functional, and socio-economic interactions between the city and the port.",05/02/2026 16.03.17
Boundary & Translation (Interpretation),Port,REWRITE,Port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Hadi El Hage,Architecture and Urban Planning,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 5 and description,"city interface:
The port-city interface refers to a spatially and functionally articulated threshold situated between port territories and the urban fabric, where maritime and urban systems converge, overlap, and interact. Historically conceived as a buffer or transitional zone marking legal, administrative, and ownership boundaries between port-controlled and urban land, it simultaneously facilitates interdependence through shared infrastructures, overlapping land uses, and circulating flows. Extending beyond its material configuration, the interface operates as a socio-institutional arena in which diverse actors, interests, and scales of governance intersect, rendering it a site of both cooperation and contestation. Characterised by degrees of porosity, hybridisation of uses, and temporal change, the port–city interface frequently contains underused or obsolete infrastructures that reflect evolving economic, spatial, and political priorities.",05/02/2026 16.03.17
Boundary & Translation (Interpretation),Blue Territory,REWRITE,Blue Territory (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Sandra Moye Holz,Urban Sustainability,Christel Diana Voncken,HSS,,,,Term 1 and description,"A Blue Territory refers to the portion of the hydrosphere—comprising water on, under, and above the Earth’s surface, including oceans, rivers, lakes, and groundwater—shaped by the influence, use, and governance of a community, city, or nation, whose significance extends beyond its physical boundaries. It integrates environmental, economic, cultural, and urban/rural dimensions, linking the conservation of aquatic ecosystems with their sustainable use and their role in shaping collective identities and territorial development.
Blue Territories function as strategic spaces where ecological regeneration, economic activity and innovation, and social cohesion intersect. They are lived and productive environments that connect nature and society, supporting multiple functions related to water as a resource, a landscape, and a cultural symbol. As such, the concept emphasizes responsible, integrated governance of aquatic spaces within broader territorial and urban systems. 
Beyond a purely spatial definition, the Blue Territory represents a frontier for sustainable and resilient development, central to addressing contemporary environmental, social, and urban/rural challenges, particularly in coastal and port city territories.",06/02/2026 9.06.43
Boundary & Translation (Interpretation),Blue Economy,REWRITE,Blue Economy (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Sandra Moye Holz,Urban Sustainability,,HSS,,,,Term 2 and description,"Refers to the sustainable, equitable and efficient use of ocean and coastal resources to generate economic value while preserving marine ecosystems and supporting social wellbeing. It encompasses economic activities that take place at sea, provide goods and services for maritime use, or benefit from proximity to the coast, including shipping and port operations, fisheries and aquaculture, marine tourism, offshore renewable energy, and maritime services.
The Blue Economy functions as a key interface between global maritime systems and local development, shaping employment, innovation, and spatial organization. It plays a strategic role in energy transition processes through the deployment of marine renewable energy, decarbonization of maritime transport, and more efficient use of marine resources. As a transversal economic system, the Blue Economy links environmental conservation, economic diversification, and technological transformation, contributing to sustainable and equitable development pathways in coastal and port-related territories.",06/02/2026 9.06.43
Boundary & Translation (Interpretation),Sustainable Port,REWRITE,Green Port Narrative (contested),Often used as branding; must be treated as contested claim to avoid greenwashing,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Sandra Moye Holz,Urban Sustainability,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 3 and description,"A port that is conceived as a resilient and adaptive ecosystem that proactively responds to global and local challenges such as climate change, digital and technological transformation, and demographic and geo-political changes. A sustainable port integrates economic efficiency with environmental sustainability and social inclusion, and promotes energy transition, efficient multimodal connectivity, and innovative technological developments. It has as its core objective long-term economic, social and environmental value creation in its surrounding territory (and if possible, further away) through transparent and collaborative governance and solid collaboration between port authorities, public administrations, operators, the industry and society, in line with the principles of sustainable development and intergenerational equity.",06/02/2026 9.06.43
Boundary & Translation (Interpretation),Strategic Value of Continental and Island Ports,REWRITE,Strategic Value of Continental and Island Ports (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Sandra Moye Holz,Urban Sustainability,,HSS,,,,Term 4 and description,"The strategic value of continental and island ports lies in their role as critical nodes within global, regional, and local maritime and transport systems, shaping trade, connectivity, security, resilience, and territorial development. Both types of ports function as gateways, intermodal hubs, and economic clusters that connect maritime networks with land-based or insular systems, while interacting closely with urban environments and sensitive coastal ecosystems.

Continental ports -  typically derive their strategic importance from their large scale, extensive hinterland connections, and integration with inland transport networks such as rail, road, and waterways. They often serve as export platforms and logistics hubs supporting industrial belts, manufacturing activities, and cross-border corridors. Their scale and connectivity enable redundancy and network diversification, enhancing systemic resilience, but can also generate significant environmental pressures through land take, dredging, industrial emissions, and ecosystem modification.

Island ports - often concentrate multiple economic and social functions—freight, passenger transport, tourism, fisheries, and recreation—within a single or limited number of facilities. Their strategic value is closely tied to insularity, acting as maritime lifelines for the supply of goods, energy, food, and people, and as gateways to tourism-dependent economies. Island ports are central to national and local resilience but face higher exposure to climate risks, single-port dependency, and fragile ecosystems such as coral reefs, mangroves, and seagrass meadows that also provide critical natural defenses.

Across both contexts, the strategic value of ports increasingly depends on their capacity to balance connectivity, security, and economic performance with environmental stewardship, climate adaptation, and energy transition, particularly in urbanized and ecologically sensitive port city and island territories.",06/02/2026 9.06.43
Boundary & Translation (Interpretation),Decoupling (relative vs absolute),REWRITE,Decoupling (relative vs absolute) (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Term 3 and description,"The separation of economic activity from environmental pressure, which may be relative (impacts grow more slowly than activity) or absolute (impacts decline in total terms).",06/02/2026 11.16.49
Boundary & Translation (Interpretation),Path dependency,REWRITE,Path dependency (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Term 4 and description,"The tendency for past decisions and investments to constrain future options, shaping long-term system trajectories even when alternative pathways become preferable.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),Regenerative systems,REWRITE,Regenerative systems (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Term 5 and description,Systems designed to restore and enhance ecological and social capacity rather than merely reducing harm or slowing degradation.,06/02/2026 11.16.49
Boundary & Translation (Interpretation),6. Value chain responsibility,REWRITE,6. Value chain responsibility (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"Expanding responsibility beyond the port's direct footprint to include throughput emissions (upstream, downstream) and associated impacts. A truly one-planet-aligned port recognises its enabling role in global production and trade systems and takes shared accountability for reducing their cumulative pressures.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),7. Circularity,REWRITE,7. Circularity (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"The design and management of material flows to minimise waste and retain materials at their highest possible value through reuse, repair, recycling, and recovery.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),8,REWRITE,8 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,Port boundary (operational vs systemic): The distinction between impacts occurring within the physical and regulatory boundaries of a port and those arising across the wider value chains the port enables/facilitates.,06/02/2026 11.16.49
Boundary & Translation (Interpretation),9,REWRITE,9 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"Systemic responsibility: Responsibility arising from a system actor’s influence over structural conditions, pathways, and lock-in effects, rather than from direct operational control alone.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),10,REWRITE,10 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"Absolute reduction: A decrease in the total quantity of resource use, material throughput, or environmental pressure, independent of efficiency gains or economic growth.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),11,REWRITE,11 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"Upstream / downstream impacts: Environmental and social impacts occurring beyond the physical boundaries of a port but along the value chains it enables, including upstream impacts from material extraction and production and downstream impacts from transport, use, and disposal of cargoes.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),12,REWRITE,12 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"Just transition (ports and maritime context): A process of structural change that seeks to reduce environmental harm while ensuring fairness for workers, communities, and affected regions.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),13,REWRITE,13 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"Green growth (as used critically): An economic strategy that seeks to maintain economic growth while reducing environmental impacts through efficiency improvements and technological innovation, typically relying on absolute decoupling of growth from material use and environmental pressure, a condition that has not been empirically demonstrated at the scale and speed required to remain within planetary boundaries.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),14,REWRITE,14 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"Circular and regenerative economy zones: Designate and prioritise areas for circular and regenerative (restoring and improving ecosystems) industry clusters, focused on reducing reliance on primary resources (using fewer raw virgin materials) and lowering land and emissions pressures. Provide spatial and policy support to steward-owned and sufficiency-oriented enterprises that integrate ecological limits, societal well-being, and clean port job creation at their core. For example, bioplastics manufacturers replacing fossil plastics, or a cargo shipping company operating with a governance model that actively regenerates marine and coastal ecosystems as part of its mission. Encourage industrial symbiosis by linking waste and resource flows between firms, and promote on-site recycling and remanufacturing to further reduce transport-related land impacts.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),15,REWRITE,15 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,Green corridor: Green shipping corridors are maritime routes between one or more ports which enable the testing and uptake of zero-emission lifecycle fuels and technologies with the ambition to achieve zero greenhouse gas emissions across the value chain of the corridor in support of an equitable sector-wide decarbonization no later than 2040.,06/02/2026 11.16.49
Boundary & Translation (Interpretation),16,REWRITE,16 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"In-port spatial optimisation (over expansion): Rather than expanding into new marine areas (like the potential plans for Maasvlakte 3), the Port of Rotterdam should adopt a strict “no new virgin capacity” approach. This involves phasing out or scaling down the most environmentally harmful activities within the existing port area to free up physical and environmental capacity for strategic new uses. Through targeted phase-out plans, redevelopment corridors, and conditional leasing, the port can accommodate future economic activities without claiming additional natural space, thus aligning with planetary boundaries and demonstrating true environmental leadership.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),17,REWRITE,17 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"Sustainable marine fuels : Marine fuels whose full lifecycle greenhouse gas emissions and wider environmental impacts are demonstrably compatible with planetary boundaries, including strict avoidance of high indirect land-use change (ILUC) feedstocks, verified sustainability certification, and full traceability from feedstock origin to bunkering. Sustainability claims for marine fuels depend on feedstock choice, land-use impacts, and lifecycle performance, and cannot be assumed for all biofuels.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),18,REWRITE,18 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"Nature-Based Solutions: Approaches that protect, restore, or enhance natural processes and ecosystems to address environmental challenges, delivering benefits for climate resilience, water management, biodiversity, and human well-being while operating within ecological rates and capacities and typically requiring lower material and energy inputs than engineered alternatives. Nature-based solutions rely on natural hydrological, biological, and geomorphological processes rather than heavy infrastructure, and their effectiveness is constrained by local ecological conditions and timescales.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),19,REWRITE,19 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"Stewardship ownership model: An ownership and governance structure in which control of an organisation is held by stewards who are legally and institutionally bound to pursue a defined long-term mission, protect social and ecological interests, and limit shareholder primacy and short-term profit extraction in favour of long-term system health.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),"Stewardship ownership models reduce incentives for throughput growth, short",REWRITE,"Stewardship ownership models reduce incentives for throughput growth, short (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"term profit maximisation, and environmental externalisation, making them well suited to port businesses operating within sufficiency- and regeneration-oriented port systems.",06/02/2026 11.16.49
Boundary & Translation (Interpretation),20,REWRITE,20 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Tanner Tuttle,environmental governance / NGO,,HSS,,,,Add more terms and their descriptions,"High-impact commodities: Commodities whose extraction, production, transport, use, or disposal generates disproportionately large environmental and social pressures relative to their economic value or volume, including significant contributions to greenhouse gas emissions, land-use change, biodiversity loss, pollution, or resource depletion.",06/02/2026 11.16.49
