"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"The Ethics of Blue Urbanism","https://scispace.com/paper/the-ethics-of-blue-urbanism-2lf7v2vaie","2021","Book Chapter","","Timothy Beatley","10.1007/978-3-030-49540-4_6","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses blue urbanism concept to explore ethical dilemmas, but lacks sociological, posthuman, governance, community, or hydrosocial analysis and does not integrate these elements.","Blue urbanism represents a compelling new vision (and movement) for how we think about cities and urbanization on the blue planet. It emphasizes a new connection with, and emphasis on, the marine environments and nature within which coastal cities are situated. It advocates for new forms of urban design, parks, and conservation that recognize this profound marine setting. Advancing this vision will require taking on a host of ethical and value dilemmas: this chapter is an initial effort to identify and sort through some of the bigger of these open ethical questions. They include important questions about the moral status of marine nature and the extent of ethical duties that blue cities have both to protect the marine nature and wildness and to invest in programs to connect urbanites to this marine nature. Other important categories of ethical questions include the extent to which there are public rights to the blue; questions about the fairness of risk associated with climate change and sea-level rise, and forms of ethical adaptation; intergenerational and intertemporal ethics; virtue ethics and blue citizenship; and questions about the ethics of the politics and decision-making processes through which blue urbanism emerges, among others. Less a definitive treatise than an exploratory discussion, the chapter is meant to show how ethical quandaries permeate the new vision and agenda of blue urbanism. The author begins as well to identify here some of the elements of an ethical blue urbanism to guide this emerging movement."
"Exploring the urban hydrosocial cycle in tourist environments","https://scispace.com/paper/exploring-the-urban-hydrosocial-cycle-in-tourist-rqby3kgi9u","2014","Journal Article","Investigaciones Geográficas","Elena Ridolfi","10.14198/INGEO2014.61.02","https://scispace.com/pdf/exploring-the-urban-hydrosocial-cycle-in-tourist-rqby3kgi9u.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial framework to analyze water flows and governance in tourist cities; lacks ocean‑specific, posthuman, or blue‑urbanism integration.","This contribution attempts to examine first how different theoretical and methodological perspectives from Geography and environmental sciences explore water flows and their physical and social dimensions in the city, as well as their changes in response to the emerging urban complexities and challenges. Using in particular the framework provided by Urban Political Ecology, I look at how the physical and social dimensions of water flows unfold and influence the urbanization process and, in turn, are influenced by urbanization. In the second part, attention is paid to urban coastal areas of the Mediterranean as candidate laboratories of analysis under urban political ecology since they are subject to rapid processes of social environmental change in which water plays a fundamental part. Case studies included to examine physical and social dimensions of water flows include heritage towns (Venice) and mass tourism resorts (Benidorm)."
"Editorial: New frontiers of marine governance in the ocean decade","https://scispace.com/paper/editorial-new-frontiers-of-marine-governance-in-the-ocean-18e317fcu6","2023","Editorial","Frontiers in Marine Science","José Guerreiro
Helena Calado
Marie Bonnin
J.P.M. van Tatenhove
Catarina Frazão Santos","10.3389/fmars.2023.1223137","https://scispace.compdf/editorial-new-frontiers-of-marine-governance-in-the-ocean-18e317fcu6.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses ocean governance discussion to frame the editorial; lacks sociological, more‑than‑human, community, hydrosocial, or urban analyses, so integration of those elements is absent.","EDITORIAL article Front. Mar. Sci., 01 August 2023Sec. Marine Affairs and Policy Volume 10 - 2023 | https://doi.org/10.3389/fmars.2023.1223137 "
"Fatti e fabule: Geografie more-than-wet del Mediterraneo Nero","https://scispace.com/paper/IWdAD7E8VukJ","","","","G Palermo","","https://library.oapen.org/bitstream/handle/20.500.12657/92562/9788835166320.pdf?sequence=1","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses more‑than‑human framing to discuss the Oceanic Turn and geographies beyond the human, but lacks sociological, governance, community, hydrosocial, or urban analyses.",""
"A Sea Change in the Environmental Humanities","https://scispace.com/paper/a-sea-change-in-the-environmental-humanities-5bf8hg2oyy","2020","Journal Article","","Cecilia Åsberg","10.46863/ECOCENE.41","https://scispace.com/pdf/a-sea-change-in-the-environmental-humanities-5bf8hg2oyy.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses posthuman feminist theory to frame the ocean as an active agent, but lacks sociological analysis, governance discussion, community focus, hydrosocial framing, or urban connections.","As we are living through a transformative response to a viral pandemic, this think piece suggests a reimagining of the environmental humanities in the open-ended inventories of feminist posthumanities and the low trophic registers of the oceanic. Sea farming of low trophic species such as seaweeds and bivalves is still underexplored option for the mitigation of climate change and diminishing species diversity in the warming oceans of the world. The affordances of low trophic mariculture for coastal life and for contributing to society’s transition into climate aware practices of eating, socializing and thinking is here considered, and showcased as an example of the practical uses of feminist environmental posthumanities."
"Beyond States: Ocean Governance in the Anthropocene","https://scispace.com/paper/beyond-states-ocean-governance-in-the-anthropocene-7hfgmagebskm","2024","Journal Article","Ocean Development and International Law","Vonintsoa Rafaly","10.1080/00908320.2024.2441877","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on UNCLOS adaptation and polycentric governance, but lacks sociological, posthuman, community, hydrosocial, or urban dimensions; does not integrate multiple criteria.","Facing the Anthropocene, the ocean legal order encounters hurdles to address rapid, uncertain and unprecedented changes. This study assesses the capacity of the United Nations Convention on the Law of the Sea (UNCLOS) to respond adeptly to complex challenges. Examining the social framework of UNCLOS spanning four decades, this study shows that ocean governance is characterized by a polycentric and dynamic institutional framework. While states are central to this social framework, other structural regulatory forces have enabled and conditioned the evolution of ocean governance. Facing the Anthropocene, this social framework has contributed to UNCLOS' adaptation, yet not enough to break the liberal pattern generated by its foundational principles or to shift away from a state-centred approach to ocean governance. Through this analysis, the study enriches the current dialogue on the adaptive potential of international legal instruments in addressing complex global challenges amidst the Anthropocene. "
"Assembling modern water: The hydrosocial politics of water and development in the Mahaweli Development Project, Sri Lanka","https://scispace.com/paper/SQUBE1VILHEJ","","","","K Paranage","","https://scholar.archive.org/work/d45geadtsfg6ji4vn4bbjil3zi/access/wayback/https://au-east.erc.monash.edu.au/fpfiles/27537194/Ph.D.ThesisKavindraR.ParanageFINAL.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial approach to examine water governance in Sri Lanka's Mahaweli Project; does not address oceans, maritime societies, or blue urbanism.",""
"Blue Urbanism","https://scispace.com/paper/blue-urbanism-vnjnxehus4","2024","Journal Article","International Journal of Environment, Architecture, and Societies","Gabriel Yit Vui Yong
Noor Hasharina Hassan","10.26418/ijeas.2024.4.01.23-36","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses blue urbanism proposals to address coastal adaptation, but lacks sociological, posthuman, governance, or hydrosocial analysis and does not integrate multiple theoretical strands.","Coastal cities are most at risk to rising sea levels and increased precipitation. This is however the Climate Change Scenario forecasted for the humid tropical region in the IPCC’s Sixth Assessment report. As standard engineering (grey) solutions are prohibitive in many developing countries due to financial and technical limitations, this paper proposes an adaptive blue approach. It shares insights from Brunei, where the old capital was a city built over water. It also presents findings from a preliminary survey to gauge the public’s views on a set of blue urbanism proposals. The study found positive support for the proposals in general. In particular, there was strong support for: (i) incorporating ‘green’ features into the urban complex; (ii) more public spaces where people could learn about their cultural heritage; and (iii) participation in the life and management of the city. There is however (iv) less enthusiastic response to blue features. The paper discusses viability of the blue urbanism approach vis-à-vis cultural and contextual changes. The insights presented could be useful to other coastal cities in the region. "
"When hydrosociality encounters sediments: Transformed lives and livelihoods in the lower basin of the Ganges River","https://scispace.com/paper/when-hydrosociality-encounters-sediments-transformed-lives-edspssbq0r","2018","Journal Article","","Flore Lafaye de Micheaux
Flore Lafaye de Micheaux
Jenia Mukherjee
Christian A. Kull","10.1177/2514848618813768","https://www.academia.edu/download/83365019/REF.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial cycle to analyze riverine livelihoods; lacks oceanic focus, blue sociology, governance, or posthuman framing, so only hydrosocial aspect aligns.","The hydrosocial cycle is a central analytical framework in political ecological approaches to water. It helps foreground multiple and subtle interactions between water and society, culture and poli..."
"Exploring new approaches in urban water governance: case studies in mediterranean areas","https://scispace.com/paper/exploring-new-approaches-in-urban-water-governance-case-1duail2lcb","2014","","","Elena Ridolfi","","https://scispace.com/pdf/exploring-new-approaches-in-urban-water-governance-case-1duail2lcb.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial cycle framework to analyze urban water governance; lacks oceanic, maritime, or blue‑urban focus, and does not integrate the full set of required elements.","Muchas de las ciudades costeras del mundo se estan volviendo cada vez mas urbana y muchas de ellas estan cambiando hacia el turismo, uno de los sectores de mayor crecimiento de la economia mundial. El agua es un elemento clave para el desarrollo y las funciones urbanas y de sostenimiento para las nuevas instalaciones turisticas. Sin embargo, los cambios y las rapidas transformaciones urbanas estan estimulando una creciente preocupacion con respecto a los recursos hidricos. En particular, los nuevos desarrollos urbanos crecen en complejidad, mientras que las densas redes de flujos de agua se intensifican dentro del tejido urbano y plantea un gran desafio para la gobernabilidad de este recurso. Considerando que el siglo pasado ha definido y representado el fenomeno del agua como una sustancia material (H2O), la investigacion del siglo 21 ha puesto en duda esa perspectiva. De hecho, estudiosos sociales han demostrado recientemente que el enfoque fisico ya no es suficiente para hacer frente a los desafios presentes y futuros del agua urbana, la incertidumbre y la gobernabilidad. Por lo tanto, los geografos y ecologistas politicos, en particular, han desarrollado el concepto de ""ciclo hidro-social"" que integra tanto la natura fisica como sociopolitica del agua. Mediante el empleo de este concepto, y a traves de la lente de Ecologia Politica Urbana, han mostrado como los sistemas sociales, politicos, culturales y economicos gobiernan los flujos de agua a traves de las sociedades, dando forma a la formacion de los entornos urbanos. La gestion del agua urbana y la gobernanza han sido investigados sobre todo desde una perspectiva funcional y fisica, y mas recientemente, desde una perspectiva social y critica con respecto a quien en la sociedad se beneficia de los recursos hidricos, la controla y la gobierna. Por otra parte, como el agua fluye, circula y interactua con los sistemas urbanos dominados por nuevos modelos de turismo (por ejemplo, el turismo de masas), ha sido poco investigado en terminos conceptuales y metodologicos, desde la disciplina de la Ecologia Politica Urbana y traves del concepto de ciclo hidro-social. Ambas perspectivas se ha sido analizada en esta Tesis Doctoral y sobretodo en zonas urbanas costeras mediterraneas donde el agua es un recurso fundamental para sostener el turismo que ya es el primer sector economico de estos paises. Despues de una introduccion general al tema de investigacion, en el capitulo 3 se presenta el marco teorico y metodologico utilizado para elaborar este estudio y un marco para analizar la gobernabilidad del ciclo hidro-social en entornos urbanos turisticos. En el capitulo 4 se analizan los procesos de transformacion de las ciudades turisticas costeras del Mediterraneo, y su complejidad urbana, a traves de la perspectiva de la Ecologia Politica Urbana. El capitulo tambien selecciona Venecia, Benidorm y Mykonos como casos de ciudades turisticas y como sistemas de analisis donde los ciclos hidro-social y su gobierno pueden asumir y revelar configuraciones particulares. En el capitulo 5 se aplica el analisis de la gobernanza del ciclo hidro-social al caso de Venecia revelando su configuracion pasada y presente del ciclo hidro-social y de su gobernanza. Los resultados de este estudio indican como el analisis del ciclo de hidro-social es util para pensar y mejorar las politicas de agua relacionadas con el sector del turismo y los problemas de gobernabilidad. La tesis sostiene que nuevos discursos dialecticos y las representaciones de este ciclo pueda abrir nuevas ventanas para escrutar la politica de agua y la gobernabilidad. La tesis apunta a la nocion de ""ciclo hidro-social"" para fomentar mas investigacion de estas cuestiones a traves de la ecologia politica urbana y la geografia, analizar y evaluar los flujos fisicos y sociales del agua y su gestion en las ciudades costeras turisticas."
"Transdisciplinary Perspectives on Ocean Governance","https://scispace.com/paper/transdisciplinary-perspectives-on-ocean-governance-wkxqdd1wp888","","","","Ratana Chuenpagdee","10.1163/9789004380271_006","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses broad governance discussion to highlight oceanic challenges, but lacks a dedicated sociological lens, posthuman theory, community focus, hydrosocial analysis, or urban linkages; integration of all elements is absent.","Oceans are probably one of the most challenging ecosystems to govern.1 Oceans are diverse, complex, and dynamic ecosystems that provide numerous functions and services to life below and above the water. Humanity, in particular, has relied on the oceans for food, livelihoods, transportation, recreation, and most recently, on other extractive resources, including oil, gas and minerals, among other things. Demands on the oceans have been rising with the continued growth in population, industrial development on land and sea, and many other pressures, which together make ocean sustainability an increasingly impossible goal to attain. As suggested in the United Nations Sustainable Development Goal on Oceans (sdg 142), about 40 percent of the world’s oceans are heavily affected by human activities and concerted actions from all nations are required in order to deal with multitude of problems in the oceans, such as pollution, resource overexploitation, and habitat loss. Many characteristics of the oceans make governance a wicked problem.3 For instance, oceans are full of ‘unknown’ and the ‘unknowable’. As the saying goes, we know more about space than we know about the oceans. But like space, knowledge about the oceans is centralized around scientific exploration and research, which, while important, contributes little to addressing the complex problems of human–ocean interactions. Ocean governance, in this case, is not about doing more science in order to convert the unknown to known, but about recognizing the unknown as well as the unknowable as part of the wicked ‘social’ problems and dealing with them accordingly. This also means that while it may not be possible to precisely determine whether human use"
"(Un)seen Seas: Technological Mediation, Oceanic Imaginaries, and Future Depths","https://scispace.com/paper/un-seen-seas-technological-mediation-oceanic-imaginaries-and-4cvt2qx0mm","2019","Journal Article","","Stephanie Ratté","10.3167/ARES.2019.100109","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses posthuman framing to view oceanic technologies as extending human presence, but lacks sociological, governance, community, hydrosocial, and urban analyses; no integrated framework.","Remote technologies and digitally mediated representations now serve as a central mode of interaction with hard-to-reach sea spaces and places. This article reviews the literature on varied scholarly engagements with the sea and on the oceanic application of technologies—among them geographic information systems, remotely operated vehicles, and autonomous underwater vehicles—that allow people to envision and engage with deep and distant oceanic spaces. I focus on the extension of a digital and disembodied human presence in the oceans and the persistence of frontier fictions, in which the sea figures as a site of future-oriented possibilities. Finally, I ask what the emphasis on “seeing” through technological mediation means for how we imagine vast spaces, and consider how these elements of the oceanic imaginary can be productively complicated by drawing attention to the materiality of the oceans and the scalar politics of dynamic spaces."
"Oceanic Travels: Future Voyages for Moving Deep and Wide within the ''New Mobilities Paradigm''","https://scispace.com/paper/oceanic-travels-future-voyages-for-moving-deep-and-wide-3bu166m68v","2019","Journal Article","","Kimberley Peters
Rachael Squire","10.3167/TRANS.2019.090207","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Calls for deeper ocean mobilities work; offers a sociological framing of seas but lacks posthuman theory, governance analysis, community focus, hydrosocial lens, urban links, or integrated framework.","The seas and oceans, ships and boats, alongside other maritime activities and practices, have become a focus of work within the “new mobilities paradigm.” However, water worlds much like the space they occupy in the relation to the land remain situated in the margins of such work, despite an oceanic (re)turn in disciplines such as human geography, sociology, anthropology, and politics. Drawing from this recognition, this article seeks to make two contributions. First, following earlier, agenda-setting work, it makes a renewed call for mobilities scholarship to centralize work on oceans, ships, and other forms seagoing travel and life. Second, in doing so, it suggests such work needs to voyage more deeply and widely in the future, exploring mobilities beyond surficial connections and flows across our oceans, and making more expansive the subjects and objects and scales of investigation, under the remit of the “new mobilities paradigm.”"
"Toward a Sociology of Water: Reconstructing the Missing “Big Picture” of Social Water Research","https://scispace.com/paper/toward-a-sociology-of-water-reconstructing-the-missing-big-q3p5cpqgug","2024","Journal Article","Water","Peter Schulz
Alexis Emanuel Gros","10.3390/w16131792","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial theory to map social water research, but focuses on freshwater and disciplinary gaps, lacking ocean‑specific, governance, or blue‑urban analyses.","In recent years, significant advancements have been made in the field of social water research. This is especially reflected in the emergence and consolidation of three influential theoretical approaches in hydrology, human geography, and anthropology: socio-hydrology, hydrosocial theory, and the multiple ontologies of water, respectively. While the present paper acknowledges the great merits of each of these perspectives, it starts from the identification of two important shortcomings in current social water research: the dispersion of the literature in distinct disciplinary sub-fields and the lack of specifically sociological approaches to hydrosocial issues. Accordingly, the aim of this paper is twofold: to offer a “big picture” of current social water research from a sociological–theoretical perspective and to initiate a fruitful conversation between sociologists and social water researchers from other disciplines. "
"Patterns of injustices in water allocation mechanisms in the Brazilian Amazon: Palm oil expansion and the reshaping of hydrosocial territories","https://scispace.com/paper/patterns-of-injustices-in-water-allocation-mechanisms-in-the-23nvfrgz","2023","Journal Article","Environmental Science & Policy","Susane Cristini Gomes Ferreira
Diana Córdoba
Daniel Sombra","10.1016/j.envsci.2023.05.020","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial lens to examine water permits and agribusiness impacts in the Amazon, but lacks oceanic focus, maritime sociology, and integrated blue‑urban framework.",""
"Book Review: Blue Urbanism: Exploring Connections between Cities and Oceans","https://scispace.com/paper/book-review-blue-urbanism-exploring-connections-between-3hw5o7p0dc","2016","Journal Article","Journal of Planning Education and Research","David Beach","10.1177/0739456X16644801","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides an overview of Beatley's Blue Urbanism concept, linking oceans to city planning, but lacks sociological depth, governance analysis, or integrated theoretical framework.","For the past couple of decades Timothy Beatley, the Teresa Heinz Professor of Sustainable Communities at the University of Virginia’s School of Architecture, has traveled the world like a roving journalist and has brought back stories about the efforts of cities to become healthier and more sustainable places. He has collected these stories in a series of influential books, starting with Green Urbanism: Learning from European Cities (Beatley 2000) and continuing with books on resilient cities (Newman, Beatley, and Boyer 2009) and biophilic cities (Beatley 2010). In the process, he has become a promoter of new themes in the planning community and, because the books are written for general audiences, a leading voice of the growing movement for sustainable cities. Beatley has the green-urbanist conviction that, at a time of rapid urbanization around the world, cities must reduce their environmental impacts with ecological designs and practices. Indeed, dense cities offer the best hope for meeting human needs with less energy and resource consumption. However, he has noticed that planning for green urbanism typically ignores the 70 percent of the planet covered by oceans. It is as if our maps, physical and mental, do not extend beyond the terrestrial shore. Bridging this gap is the purpose of Beatley’s book, Blue Urbanism: Exploring Connections between Cities and Oceans (2014). According to Beatley,"
"Introduction: Maritime Im/Mobilities","https://scispace.com/paper/introduction-maritime-im-mobilities-3om93wj5","2023","Book Chapter","","Hilary Dugan","10.1007/978-3-030-91275-8_1","https://scispace.com/pdf/introduction-maritime-im-mobilities-3om93wj5.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses posthuman framing of oceanic nonhuman mobilities, but lacks sociological, governance, community, hydrosocial, and urban analyses; does not integrate all required elements.","Abstract In a time of refugee boats and rising seas, maritime mobilities and immobilities have regained critical status for the development of viable futures—social, economic, environmental, political, as well as imaginative. This introduction describes advances in maritime studies, alongside “blue cultural studies” or “oceanic humanities,” and covers a selection of recent critical perspectives in the maritime humanities that have extended, but also criticized, earlier assumptions in the field: Eurocentric, anthropocentric, and class-, race-, and gender-based. The focus is on some of the ways in which maritime studies has been informed by mobility studies, an interdisciplinary field within the humanities. Taking up cultural geography’s revision of the field to acknowledge the centrality of movement in history and society and to move beyond logistics-centered transportation studies, mobility studies investigates the production of mobilities and immobilities historically, socially, politically, and culturally. The present volume sets out to explore how oceanic im/mobilities have been framed and articulated in the literary and cultural imagination. "
"Some Key Ideas for Advancing the Vision of Blue Urbanism","https://scispace.com/paper/some-key-ideas-for-advancing-the-vision-of-blue-urbanism-2kcnjk3p","2022","Journal Article","Journal of global and area studies","Timothy Beatley","10.31720/jga.6.1.2","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Primarily a conceptual piece on urban design ideas; lacks sociological, governance, or hydrosocial analysis, but mentions linking cities to marine environments.","Blue Urbanism represents a new way of seeing and understanding cities on the blue planet. Coastal cities (especially) must more fully embrace the marine world and can do many things to connect their residents to the wondrous marine world nearby. This article explores a number of innovative ideas for doing this, and for advancing this new vision of urbanism. From designing new parks that provide direct physical access to water, to creative ways to use digital and camera technologies to project marine life into the human spaces of a city there will many ways a city can cultivate a sense of marine awareness and caring. An important set of ideas has to do with the need to adjust our maps to better reflect and depict the remarkable marine life around us, and so to adjust our perception of the city and nature in the city to include the marine world. There are also things that cities can do for more distant nature, lending political and financial support for the expansion of globally of marine protected areas, and through ideas like establishing Ocean Sister Cities, that will build awareness and emotional connections to marine habitats and organisms in more distant places. "
"The Blue Growth Challenge to Maritime Governance","https://scispace.com/paper/the-blue-growth-challenge-to-maritime-governance-17vu7oxca0","2021","Journal Article","Frontiers in Marine Science","José Guerreiro","10.3389/FMARS.2021.681546","https://scispace.com/pdf/the-blue-growth-challenge-to-maritime-governance-17vu7oxca0.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on Blue Growth policy and MSP governance, but lacks sociological, more‑than‑human, community, hydrosocial, or urban analyses; governance discussion is present but not deeply sociological.","In 2006 the European Union (EU) began a dramatic change in its conception and approach to maritime policy. By developing what was called Integrated Maritime Policy, there was an attempt to coordinate different sectorial policies and thus adding value, through synergies and economies of scale. At the same time, and as a result of scientific and technological advances, five strategic sectors with great growth potential were identified: aquaculture, renewable energies, blue biotechnology, deep sea mining and nautical tourism. These were the pillars for the Blue Growth Strategy, leading to more jobs and global economic growth. This trend quickly spread to other continents, universalizing the concept of blue growth. However, the growing competition for maritime space, due to new uses, led to the realization that along with the need to ensure confidence and stability for investors, it would be imperative to develop new planning and management instruments for these spaces. During this process, governments quickly realized that this evolution, which had the potential for far reaching economic and social impacts, required a new institutional framework adapted to this new reality, which would end up having an impact on the governments structure itself. We have witnessed, particularly during the last decade, a profound conceptual change in the governance of maritime space. The design of new political, legal, institutional, and governmental frameworks, which are introducing a new model of maritime and marine governance at a global scale, are probably the most critical one since World War II. This article develops this analysis, based on several examples, both in the EU as well as in other countries outside the bloc, particularly those surrounding the Atlantic, in order to demonstrate that the drive towards a blue economy triggered a profound and deep change in marine policies and governance."
"L´anthropologie maritime: un domaine en évolution: hors cadre traditionnel de l´anthropologie sociale","https://scispace.com/paper/l-anthropologie-maritime-un-domaine-en-evolution-hors-cadre-56x32dr6x0","2007","","","Aliette Geistdoerfer","","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses maritime anthropology to map societies exploiting the sea, but lacks explicit blue sociology, posthuman theory, governance analysis, hydrosocial framing, or urban linkages; only loosely addresses sea‑based communities.","La antropologia maritima es el estudio de las especificidades tecnicas, sociales y culturales de las sociedades que explotan el mar. Pluridisciplinaridad y la toma en cuenta de las escalas nacionales e internacionales son obligatorias. Estan establecidas una topologia de las sociedades maritimas y sus particularidades irreductibles y estructurales. Junto a una antropologia maritima fundamental, otra antropologia maritima ""activa"" se pone en marcha asi como nuevos ambitos de investigacion."
"Bluespace: a typological matrix for port cities","https://scispace.com/paper/bluespace-a-typological-matrix-for-port-cities-35fxwzrck4","2007","Journal Article","Urban Design International","Diane Brand","10.1057/PALGRAVE.UDI.9000195","https://link.springer.com/content/pdf/10.1057%2Fpalgrave.udi.9000195.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses a typological matrix to classify waterfront public spaces, linking urban design to the sea but lacks sociological theory, governance analysis, or posthuman framing.","The sea covers more than 70% of the Earth's surface. Now for the first time in history more than half the world's people live in cities and many of the world's most populated conurbations are located on the ocean periphery. Climate change is making littoral zones a potentially productive location for the development of new forms of urban space in coastal cities. Increased urbanisation and the foregrounding of the coastal condition make the association between cities and the sea one of the most important environmental juxtapositions of the 21st century. The aim of this paper is to re-theorise the collision of the public realm and the sea edge, and provide a range of design precedents for this emerging urban space phenomenon. The paper will introduce the concept of ‘bluespace’ and define a matrix with nine instances of how urban space and sea space combine to produce distinct public space types in port cities. Case studies of each type will be presented and discussed in detail with reference to textual and representational descriptions of the space in question."
"What governance? The role of public and private stakeholders in water supply management in Mediterranean coastal tourist destinations: The case of the Costa Brava","https://scispace.com/paper/what-governance-the-role-of-public-and-private-stakeholders-z6g747tviz","2018","Journal Article","Water","David Pavón
Ariadna Gabarda-Mallorquí
Anna Ribas","10.3390/W10121758","https://www.mdpi.com/2073-4441/10/12/1758/pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses case of Costa Brava tourism‑driven water supply to discuss governance, but focuses on freshwater infrastructure, lacks oceanic, posthuman, and integrated blue‑sociology framing.","A large number of services have been privatized in recent decades, leaving less responsibility for public administration management. This trend has resulted in an intense debate on which services should be guaranteed and the equity and efficiency criteria that should be applied in their provision. The move to privatize the potable water supply in one of the main international tourist destinations—the Costa Brava (Spain)—can be included within this context. Our aim is to identify and characterize the main water governance systems on the Costa Brava in order to explore the different forms of water supply governance. To this end, an analysis has been carried out to explain the different interrelations between the expansion of tourism and the management of water supply infrastructures. The insufficient technical and financial resources of local and regional governments encourage the entry of private initiatives. In this process, we must also take into account the consolidation of a larger customer market linked to tourism development. Our main conclusion is that water governance models in coastal tourist destinations such as these are determined not only by territorial needs and the lack of technical capacity, but also by the emergence of business opportunities in the private sector."
"Water and power in the Peruvian Andes","https://scispace.com/paper/water-and-power-in-the-peruvian-andes-4p18ifynxd","2018","Book Chapter","","Barbara Deutsch Lynch","10.4324/9781315621715-4","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial lens to examine river water use for irrigation and urban supply in the Andes; lacks ocean focus, blue sociology, governance, and urban‑coastal integration.",""
"The Vital Machine: Water Scarcity and Hydrosocial Assemblage in Punjab","https://scispace.com/paper/zYQ8AsfTCu4J","","","","A Aijaz","","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial lens to examine water scarcity in Punjab’s canal colonies, but focuses on inland freshwater systems, lacking oceanic, maritime, or blue‑urban dimensions.",""
"Submarine futures of the Anthropocene","https://scispace.com/paper/submarine-futures-of-the-anthropocene-2krgi3hdr8","2017","Journal Article","Comparative Literature","Elizabeth DeLoughrey","10.1215/00104124-3794589","https://www.academia.edu/download/53436613/Comparative_Literature-2017-Deloughrey-32-44.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses posthuman poetics to treat oceanic matter as active, but lacks sociological lens, governance analysis, community focus, hydrosocial framing, or urban connections.",""
"Anthropologie maritime ou anthropologie de la mer","https://scispace.com/paper/anthropologie-maritime-ou-anthropologie-de-la-mer-4gwcymn26c","2018","Journal Article","","Hélène Artaud","10.4000/ETHNOECOLOGIE.3484","https://scispace.com/pdf/anthropologie-maritime-ou-anthropologie-de-la-mer-4gwcymn26c.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses conference proceedings to rethink maritime anthropology, mentions coastal claims and geopolitical tensions, but lacks sociological, posthuman, governance, hydrosocial, or urban analyses.","Le present dossier est constitue des actes d’un colloque, tenu au Musee de l’Homme les 8 et 9 juin 2016, dont l’intention principale etait de repenser les fondements et la place de l’anthropologie maritime dans les debats contemporains. La tâche qui m’etait impartie de l’introduire n’etait pas aisee, pour une raison double. La premiere tient a l’anteriorite de la demarche. Quoique l’anthropologie maritime ait occupe une place marginale dans la discipline anthropologique, elle n’en a pas moins..."
"Relational Sociology: A New Paradigm for the Social Sciences","https://scispace.com/paper/relational-sociology-a-new-paradigm-for-the-social-sciences-odytupe3n6","2010","Book","","Pierpaolo Donati","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on general relational sociology theory without addressing oceans, maritime societies, governance, or hydrosocial/blue urbanism dimensions.","Introduction: Prospects for a Relational Sociology Chapter 1. The Relational Paradigm its implications for the understanding and organization of Society Chapter 2. Society as a Relation Chapter 3. Critical Realism as viewed by Relational Sociology Chapter 4. Observing and Thinking Relationally: the premises of the relational theory of society Chapter 5. Social Change in the light of Relational Sociology Chapter 6. Reflexivity after Modernity: From the viewpoint of Relational Sociology Chapter 7. Doing Sociology in the Age of Globalisation"
